,ссылка,цена,агенство,общая площадь,жилая площадь,этаж,всего этажей,Дети,холодильник,посудомойка,стиральная машина,мебель в комнатах,мебель на кухне,телевизор,интернет,кондиционер,душ,ванна,район,улица
98,https://mahachkala.cian.ru/rent/flat/286284474/,2500,Собственник,42.0,36.0,1,2,1,1,0,1,1,1,1,1,1,0,0, Ленинский,1-йПушкина
99,https://mahachkala.cian.ru/rent/flat/282138575/,2200,Собственник,45.0,35.0,1,4,1,1,0,1,1,1,1,1,0,0,1, Советский,Салаватова
100,https://mahachkala.cian.ru/rent/flat/276116135/,3500,Собственник,60.0,0.0,2,5,1,1,0,1,1,1,1,1,1,0,1, Ленинский,просп.РасулаГамзатова
101,https://mahachkala.cian.ru/rent/flat/284879677/,4000,0,64.0,0.0,4,5,1,1,0,1,1,1,1,1,1,0,1, Ленинский,просп.РасулаГамзатова
102,https://mahachkala.cian.ru/rent/flat/275783836/,2200,Собственник,66.0,0.0,12,13,1,1,0,1,1,1,1,1,1,0,1, Ленинский,ХаджиБулача
103,https://mahachkala.cian.ru/rent/flat/274360074/,3000,0,52.0,0.0,3,10,1,1,0,1,1,1,1,1,1,0,1, Ленинский,0
104,https://mahachkala.cian.ru/rent/flat/271020505/,3000,Собственник,60.0,20.0,2,10,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Кородинская
105,https://mahachkala.cian.ru/rent/flat/274924452/,3500,Собственник,45.0,0.0,7,14,1,1,0,1,1,1,1,1,1,0,1,0,просп.Акулиничева
106,https://mahachkala.cian.ru/rent/flat/271406277/,4000,Собственник,55.0,0.0,6,13,1,1,1,1,1,1,1,1,1,0,1, Ленинский,0
108,https://mahachkala.cian.ru/rent/flat/287324803/,2400,Собственник,65.0,65.0,2,2,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Нахимова
109,https://mahachkala.cian.ru/rent/flat/287317909/,2500,Собственник,64.0,50.0,10,10,1,1,0,1,1,1,1,1,1,0,1,0,просп.Акулиничева
110,https://mahachkala.cian.ru/rent/flat/287330063/,2500,0,79.0,65.0,4,9,1,1,0,1,1,1,1,1,1,0,1,0,Ленина
111,https://mahachkala.cian.ru/rent/flat/287334142/,3000,Собственник,52.0,40.0,9,10,1,1,0,0,1,1,1,1,1,0,1, Ленинский,0
112,https://mahachkala.cian.ru/rent/flat/241834132/,1500,Собственник,40.0,15.0,1,3,1,1,0,1,1,1,1,1,1,1,0, Ленинский,Лаптиева
113,https://mahachkala.cian.ru/rent/flat/284997918/,2500,0,46.0,18.0,6,6,1,1,0,1,1,1,1,1,1,0,1, Советский,АбдулхамидаЮсупова
114,https://mahachkala.cian.ru/rent/flat/286901074/,5000,0,60.0,50.0,3,5,1,1,0,1,1,1,1,1,1,1,1, Ленинский,0
115,https://mahachkala.cian.ru/rent/flat/274590170/,2200,Собственник,50.0,46.0,6,11,1,1,0,1,1,1,1,1,1,0,1, Ленинский,0
117,https://mahachkala.cian.ru/rent/flat/287000718/,2000,Собственник,40.0,0.0,2,5,1,1,0,1,1,1,1,1,1,0,1,0,АзизаАлиева
122,https://mahachkala.cian.ru/rent/flat/286891702/,5000,Собственник,75.0,0.0,4,5,1,1,1,1,1,1,1,1,1,1,0,0,С.Стальского
123,https://mahachkala.cian.ru/rent/flat/287173155/,3000,Собственник,56.0,20.0,5,11,1,1,0,1,1,1,1,1,1,1,1,0,0
125,https://mahachkala.cian.ru/rent/flat/287341107/,2000,Собственник,32.0,14.0,14,14,0,1,0,1,1,1,1,1,1,0,1, Ленинский,ЭльзыИбрагимовой
126,https://mahachkala.cian.ru/rent/flat/287334142/,3000,Собственник,52.0,40.0,9,10,1,1,0,0,1,1,1,1,1,0,1, Ленинский,0
127,https://mahachkala.cian.ru/rent/flat/287333809/,2000,Собственник,50.0,0.0,3,5,1,1,0,1,1,1,1,1,1,0,1,0,М.Халилова
128,https://mahachkala.cian.ru/rent/flat/286707324/,1500,Собственник,32.0,24.0,2,5,1,1,0,1,1,1,1,1,1,0,1,0,Орджоникидзе
129,https://mahachkala.cian.ru/rent/flat/286091003/,4000,Собственник,76.0,12.0,8,10,1,1,0,1,1,1,1,1,1,0,1,0,М.Халилова
130,https://mahachkala.cian.ru/rent/flat/260483065/,3500,0,50.0,0.0,7,13,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Лаптиева
132,https://mahachkala.cian.ru/rent/flat/287245400/,2000,Собственник,73.0,0.0,10,11,1,1,0,1,1,1,1,1,0,0,1, Советский,Газопроводная
133,https://mahachkala.cian.ru/rent/flat/282833779/,3000,Собственник,74.0,14.0,10,10,1,1,0,1,1,1,1,1,1,0,1,0,0
134,https://mahachkala.cian.ru/rent/flat/271359607/,6000,Собственник,71.0,71.0,9,16,0,1,0,1,1,1,0,0,0,0,0, Советский,0
135,https://mahachkala.cian.ru/rent/flat/287343782/,4000,Собственник,110.0,0.0,2,4,1,1,0,1,1,1,1,1,1,0,1, Кировский,Эмирова
136,https://mahachkala.cian.ru/rent/flat/276641210/,3500,Собственник,52.0,51.0,3,3,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Лаптиева
137,https://mahachkala.cian.ru/rent/flat/287046825/,3000,Собственник,50.0,40.0,11,12,1,1,1,1,1,1,1,1,1,0,1, Ленинский,Магарамкентская
